date,time,slot1,slot2
02.09.2023,12:00-14:00,Свободно,Свободно
02.09.2023,15:00-17:00,Свободно,Свободно
02.09.2023,18:00-20:00,Свободно,Свободно
02.09.2023,21:00-23:00,Свободно,Свободно
02.09.2023,9:00-11:00,Свободно,Свободно
03.09.2023,12:00-14:00,Свободно,Свободно
03.09.2023,15:00-17:00,Свободно,Свободно
03.09.2023,18:00-20:00,Свободно,Свободно
03.09.2023,21:00-23:00,Свободно,Свободно
03.09.2023,9:00-11:00,Свободно,Свободно
04.09.2023,12:00-14:00,Свободно,Свободно
04.09.2023,15:00-17:00,Свободно,Свободно
04.09.2023,18:00-20:00,Свободно,Свободно
04.09.2023,21:00-23:00,Свободно,Свободно
04.09.2023,9:00-11:00,Свободно,Свободно
05.09.2023,12:00-14:00,Свободно,Свободно
05.09.2023,15:00-17:00,Свободно,Свободно
05.09.2023,18:00-20:00,Свободно,Свободно
05.09.2023,21:00-23:00,Свободно,Свободно
05.09.2023,9:00-11:00,Свободно,Свободно
06.09.2023,12:00-14:00,Свободно,Свободно
06.09.2023,15:00-17:00,Свободно,Свободно
06.09.2023,18:00-20:00,Свободно,Свободно
06.09.2023,21:00-23:00,Свободно,Свободно
06.09.2023,9:00-11:00,Свободно,Свободно
07.09.2023,12:00-14:00,Свободно,Свободно
07.09.2023,15:00-17:00,Свободно,Свободно
07.09.2023,18:00-20:00,Свободно,Свободно
07.09.2023,21:00-23:00,Свободно,Свободно
07.09.2023,9:00-11:00,Свободно,Свободно
08.09.2023,12:00-14:00,Свободно,Свободно
08.09.2023,15:00-17:00,Свободно,Свободно
08.09.2023,18:00-20:00,Свободно,Свободно
08.09.2023,21:00-23:00,Свободно,Свободно
08.09.2023,9:00-11:00,Свободно,Свободно
09.09.2023,12:00-14:00,Свободно,Свободно
09.09.2023,15:00-17:00,Свободно,Свободно
09.09.2023,18:00-20:00,Свободно,Свободно
09.09.2023,21:00-23:00,Свободно,Свободно
09.09.2023,9:00-11:00,Свободно,Свободно
10.09.2023,12:00-14:00,Свободно,Свободно
10.09.2023,15:00-17:00,Свободно,Свободно
10.09.2023,18:00-20:00,Свободно,Свободно
10.09.2023,21:00-23:00,Свободно,Свободно
10.09.2023,9:00-11:00,Свободно,Свободно
11.09.2023,12:00-14:00,Свободно,Свободно
11.09.2023,15:00-17:00,Свободно,Свободно
11.09.2023,18:00-20:00,Свободно,Свободно
11.09.2023,21:00-23:00,Свободно,Свободно
11.09.2023,9:00-11:00,Свободно,Свободно
12.09.2023,12:00-14:00,Свободно,Свободно
12.09.2023,15:00-17:00,Свободно,Свободно
12.09.2023,18:00-20:00,Свободно,Свободно
12.09.2023,21:00-23:00,Свободно,Свободно
12.09.2023,9:00-11:00,Свободно,Свободно
13.09.2023,12:00-14:00,Свободно,Свободно
13.09.2023,15:00-17:00,Свободно,Свободно
13.09.2023,18:00-20:00,Свободно,Свободно
13.09.2023,21:00-23:00,Свободно,Свободно
13.09.2023,9:00-11:00,Свободно,Свободно
14.09.2023,12:00-14:00,Свободно,Свободно
14.09.2023,15:00-17:00,Свободно,Свободно
14.09.2023,18:00-20:00,Свободно,Свободно
14.09.2023,21:00-23:00,Свободно,Свободно
14.09.2023,9:00-11:00,Свободно,Свободно
15.09.2023,12:00-14:00,Свободно,Свободно
15.09.2023,15:00-17:00,Свободно,Свободно
15.09.2023,18:00-20:00,Свободно,Свободно
15.09.2023,21:00-23:00,Свободно,Свободно
15.09.2023,9:00-11:00,Свободно,Свободно
16.09.2023,12:00-14:00,Свободно,Свободно
16.09.2023,15:00-17:00,Свободно,Свободно
16.09.2023,18:00-20:00,Свободно,Свободно
16.09.2023,21:00-23:00,Свободно,Свободно
16.09.2023,9:00-11:00,Свободно,Свободно
17.09.2023,12:00-14:00,Свободно,Свободно
17.09.2023,15:00-17:00,Свободно,Свободно
17.09.2023,18:00-20:00,Свободно,Свободно
17.09.2023,21:00-23:00,Свободно,Свободно
17.09.2023,9:00-11:00,Свободно,Свободно
18.09.2023,12:00-14:00,Свободно,Свободно
18.09.2023,15:00-17:00,Свободно,Свободно
18.09.2023,18:00-20:00,Свободно,Свободно
18.09.2023,21:00-23:00,Свободно,Свободно
18.09.2023,9:00-11:00,Свободно,Свободно
19.09.2023,12:00-14:00,Свободно,Свободно
19.09.2023,15:00-17:00,Свободно,Свободно
19.09.2023,18:00-20:00,Свободно,Свободно
19.09.2023,21:00-23:00,Свободно,Свободно
19.09.2023,9:00-11:00,Свободно,Свободно
20.09.2023,12:00-14:00,Свободно,Свободно
20.09.2023,15:00-17:00,Свободно,Свободно
20.09.2023,18:00-20:00,Свободно,Свободно
20.09.2023,21:00-23:00,Свободно,Свободно
20.09.2023,9:00-11:00,Свободно,Свободно
21.09.2023,12:00-14:00,Свободно,Свободно
21.09.2023,15:00-17:00,Свободно,Свободно
21.09.2023,18:00-20:00,Свободно,Свободно
21.09.2023,21:00-23:00,Свободно,Свободно
21.09.2023,9:00-11:00,Свободно,Свободно
22.09.2023,12:00-14:00,Свободно,Свободно
22.09.2023,15:00-17:00,Свободно,Свободно
22.09.2023,18:00-20:00,Свободно,Свободно
22.09.2023,21:00-23:00,Свободно,Свободно
22.09.2023,9:00-11:00,Свободно,Свободно
23.09.2023,12:00-14:00,Свободно,Свободно
23.09.2023,15:00-17:00,Свободно,Свободно
23.09.2023,18:00-20:00,Свободно,Свободно
23.09.2023,21:00-23:00,Свободно,Свободно
23.09.2023,9:00-11:00,Свободно,Свободно
24.09.2023,12:00-14:00,Свободно,Свободно
24.09.2023,15:00-17:00,Свободно,Свободно
24.09.2023,18:00-20:00,Свободно,Свободно
24.09.2023,21:00-23:00,Свободно,Свободно
24.09.2023,9:00-11:00,Свободно,Свободно
25.09.2023,12:00-14:00,Свободно,Свободно
25.09.2023,15:00-17:00,Свободно,Свободно
25.09.2023,18:00-20:00,Свободно,Свободно
25.09.2023,21:00-23:00,Свободно,Свободно
25.09.2023,9:00-11:00,Свободно,Свободно
26.09.2023,12:00-14:00,Свободно,Свободно
26.09.2023,15:00-17:00,618,618
26.09.2023,18:00-20:00,Свободно,Свободно
26.09.2023,21:00-23:00,Свободно,Свободно
26.09.2023,9:00-11:00,Свободно,Свободно
27.09.2023,12:00-14:00,Свободно,Свободно
27.09.2023,15:00-17:00,Свободно,Свободно
27.09.2023,18:00-20:00,Свободно,Свободно
27.09.2023,21:00-23:00,Свободно,Свободно
27.09.2023,9:00-11:00,Свободно,Свободно
28.09.2023,12:00-14:00,Свободно,Свободно
28.09.2023,15:00-17:00,618,Свободно
28.09.2023,18:00-20:00,Свободно,Свободно
28.09.2023,21:00-23:00,Свободно,Свободно
28.09.2023,9:00-11:00,Свободно,Свободно
29.09.2023,12:00-14:00,Свободно,Свободно
29.09.2023,15:00-17:00,Свободно,Свободно
29.09.2023,18:00-20:00,Свободно,Свободно
29.09.2023,21:00-23:00,Свободно,Свободно
29.09.2023,9:00-11:00,Свободно,Свободно
